Location,Count
,21
ATL ,1
Alpha Quadrant,1
"Andover, MA",1
"Ann Arbor, MI",1
Arizona State University,1
"Atlanta, GA",1
"Birmingham, AL",1
Bloodstream,1
"Bluffton, SC",1
Bogotá Island D.C.,1
Boston,3
"Boston, MA",7
"Boston, MA USA",1
"Boston, MA, USA",1
"Boston, Massachusetts",1
"Brookline, Massachusetts, USA",1
"Brooklyn, NY",2
"Brussels, Belgium",1
"California, USA",1
Cambridge MA,1
"Cambridge, MA",11
"Cambridge, MA, USA",4
"Cambridge, Massachusetts, U.S.",1
"Chicago, IL",1
Chile,1
Citizen of the World®,1
"Deer Park, TX",1
"Denver, CO",1
"Encinitas, CA",1
"Flint, MI",1
"Gatineau/Ottawa, Canada",1
"Halfmoon, NY",1
"Irvine, California",1
Johannesburg,1
"Kentucky, USA",1
"Lima,Peru",1
London ,1
"Minneapolis, MN",1
Montevideo,1
Mumbai,1
NYC,1
NYC Metro,1
NYC • BOS • SFO • LON,1
"New Delhi , India",1
"New York, NY",1
Newark,1
"Newcastle, NSW Australia",1
"North Carolina, US",1
"Norwood, MA",1
"Oklahoma, USA",1
"Ottawa, Ontario",1
"Phoenix, Arizona USA",1
Plano Piloto de Brasília,2
Pluto,1
"Quad Cities, USA ",1
"Raleigh, NC",2
"Rio, São Paulo, The World.",1
"Savannah, GA",1
Shanghai,1
Southeastern Pennsylvania,1
Southern Maine USA,1
Stankonia,1
Sydney,1
"São Paulo, Brasil",3
"Tampa, FL",1
The Netherlands,1
The Void,1
USA,1
Venezuela,1
"Washington, DC",1
"Westborough, MA",1
"Williamsburg, Virginia",1
World,2
Wuppertal,1
planet Earth ,1
rgv // boston,1
